EmployeeID,Component,Y16_Mean_Component_Score,Y15_Mean_Component_Score,Y14_Mean_Component_Score
0818987,3c,3.00,3.33,2.33
0818987,3d,3.33,3.00,2.00
0818987,4e,3.50,3.00,3.50
0842388,1a,4.00,4.00,4.00
0842388,1e,4.00,4.00,4.00
0842388,2a,4.00,4.00,4.00
0842388,2d,4.00,4.00,4.00
0842388,3b,4.00,4.00,4.00
0842388,3c,4.00,4.00,3.50
0842388,3d,4.00,4.00,3.50
0842388,4e,3.00,4.00,4.00
0843951,1a,4.00,4.00,4.00
0843951,1e,4.00,4.00,4.00
0843951,2a,4.00,4.00,4.00
0843951,2d,4.00,4.00,4.00
0843951,3b,3.00,4.00,4.00
0843951,3c,4.00,4.00,4.00
0843951,3d,4.00,4.00,4.00
0843951,4e,3.00,4.00,3.00
0847477,1a,4.00,4.00,4.00
0847477,1e,4.00,4.00,4.00
0847477,2a,4.00,4.00,4.00
0847477,2d,4.00,4.00,4.00
0847477,3b,4.00,4.00,4.00
0847477,3c,3.67,4.00,3.50
0847477,3d,4.00,3.50,4.00
0847477,4e,3.50,3.50,4.00
0863440,1a,3.75,4.00,4.00
0863440,1e,3.40,3.75,4.00
0863440,2a,4.00,4.00,4.00
0863440,2d,4.00,4.00,3.75
0863440,3b,3.00,3.33,3.50
0863440,3c,3.40,3.75,3.40
0863440,3d,3.20,3.33,3.20
0863440,4e,3.00,3.50,3.00
0864331,1a,4.00,4.00,4.00
0864331,1e,4.00,4.00,4.00
0864331,2a,4.00,4.00,4.00
0864331,2d,4.00,4.00,4.00
0864331,3b,3.00,4.00,3.00
0864331,3c,4.00,4.00,3.66
0864331,3d,4.00,4.00,3.00
0864331,4e,3.00,4.00,3.00
0865094,1a,4.00,4.00,4.00
0865094,1e,4.00,4.00,4.00
0865094,2a,4.00,4.00,4.00
0865094,2d,4.00,4.00,4.00
0865094,3b,4.00,4.00,3.00
0865094,3c,4.00,3.67,4.00
0865094,3d,3.67,4.00,3.00
0865094,4e,4.00,3.00,3.50
0865356,1a,4.00,4.00,3.00
0865356,1e,4.00,4.00,3.00
0865356,2a,4.00,4.00,3.33
0865356,2d,4.00,4.00,3.00
0865356,3b,4.00,4.00,3.00
0865356,3c,3.33,4.00,3.00
0865356,3d,3.25,4.00,3.00
0865356,4e,3.00,4.00,3.00
0865828,1a,4.00,4.00,4.00
0865828,1e,4.00,4.00,4.00
0865828,2a,4.00,4.00,4.00
0865828,2d,4.00,4.00,4.00
0865828,3b,3.50,4.00,4.00
0865828,3c,4.00,4.00,4.00
0865828,3d,4.00,4.00,4.00
0865828,4e,3.50,4.00,4.00
0875870,1a,2.50,2.57,2.00
0875870,1e,2.00,2.86,2.00
0875870,2a,3.33,3.00,2.75
0875870,2d,3.00,3.00,2.66
0875870,3b,3.00,2.25,2.00
0875870,3c,3.00,2.33,2.00
0875870,3d,3.00,2.33,1.50
0875870,4e,3.00,3.00,3.00
0879487,1a,3.00,3.00,3.00
0879487,1e,3.00,2.80,3.00
0879487,2a,3.25,3.00,2.75
0879487,2d,3.00,3.00,2.50
0879487,3b,3.00,3.00,2.33
0879487,3c,3.33,3.00,2.50
0879487,3d,3.50,2.33,2.25
0879487,4e,4.00,3.25,3.00
0882648,1a,4.00,4.00,4.00
0882648,1e,3.50,4.00,4.00
0882648,2a,4.00,4.00,3.66
0882648,2d,4.00,4.00,3.75
0882648,3b,3.33,4.00,3.00
0882648,3c,3.25,4.00,3.75
0882648,3d,4.00,4.00,3.00
0882648,4e,3.67,4.00,4.00
0885231,1a,3.00,2.33,2.75
0885231,1e,3.00,2.00,2.75
0885231,2a,3.25,3.00,3.00
0885231,2d,3.50,3.00,3.00
0885231,3b,3.00,2.17,2.50
0885231,3c,3.00,2.17,2.83
0885231,3d,2.50,2.33,2.50
0885231,4e,3.25,2.00,3.00
0886503,1a,3.00,3.00,2.00
0886503,1e,3.00,3.25,3.00
0886503,2a,3.75,3.50,3.25
0886503,2d,3.50,3.50,3.00
0886503,3b,2.75,3.00,2.25
0886503,3c,3.00,3.00,2.00
0886503,3d,3.00,3.00,2.50
0886503,4e,3.00,3.00,3.00
0888067,1a,4.00,4.00,3.66
0888067,1e,4.00,4.00,3.50
0888067,2a,4.00,4.00,3.80
0888067,2d,4.00,4.00,3.50
0888067,3b,3.00,3.33,3.20
0888067,3c,4.00,3.25,3.80
0888067,3d,4.00,4.00,3.33
0888067,4e,3.50,4.00,3.50
0890081,1a,4.00,4.00,4.00
0890081,1e,3.75,4.00,4.00
0890081,2a,4.00,4.00,3.66
0890081,2d,4.00,4.00,3.66
0890081,3b,3.67,3.33,3.00
0890081,3c,4.00,3.75,3.66
0890081,3d,3.67,4.00,3.25
0890081,4e,3.67,4.00,3.50
0891324,1a,3.00,3.25,3.00
0891324,1e,3.00,3.33,2.00
0891324,2a,3.33,3.67,3.25
0891324,2d,3.33,3.00,3.00
0891324,3b,3.00,2.75,2.50
0891324,3c,3.00,3.00,3.00
0891324,3d,3.00,2.67,2.50
0891324,4e,3.00,3.33,3.00
0891342,1a,4.00,4.00,3.00
0891342,1e,4.00,4.00,3.50
0891342,2a,4.00,4.00,4.00
0891342,2d,4.00,4.00,4.00
0891342,3b,4.00,4.00,4.00
0891342,3c,4.00,4.00,4.00
0891342,3d,3.50,3.67,3.33
0891342,4e,3.00,4.00,3.00
0893686,1a,2.60,3.00,3.00
0893686,1e,2.00,2.50,3.00
0893686,2a,3.00,3.33,3.25
0893686,2d,3.00,3.25,3.50
0893686,3b,3.00,2.00,3.00
0893686,3c,2.75,2.67,3.00
0893686,3d,3.00,2.00,2.00
0893686,4e,3.00,3.00,4.00
0893713,1a,3.67,3.67,3.50
0893713,1e,3.75,3.50,3.50
0893713,2a,3.67,3.00,3.00
0893713,2d,3.50,3.50,2.75
0893713,3b,3.50,3.33,3.00
0893713,3c,3.50,3.25,3.00
0893713,3d,3.67,4.00,2.66
0893713,4e,4.00,3.50,3.50
0895447,1a,4.00,4.00,4.00
0895447,1e,4.00,4.00,3.33
0895447,2a,4.00,4.00,3.66
0895447,2d,4.00,4.00,4.00
0895447,3b,3.33,4.00,3.66
0895447,3c,4.00,4.00,3.40
0895447,3d,3.00,4.00,3.60
0895447,4e,3.00,4.00,3.00
0897452,1a,4.00,4.00,3.66
0897452,1e,4.00,4.00,3.66
